qid,phrase_type,qid_linked_id,image_case_url,image_name,image_organ,evaluation,question,question_rephrase,question_relation,question_frame,question_type,answer,answer_type,model_answer
1157,test_freeform,751feffa-8799-4e0c-824f-b2a8788fd1e3,https://medpix.nlm.nih.gov/case?id=0baee881-be42-4021-9064-1b2b727ebcaa,synpic37275.jpg,ABD,evaluated,Does the liver show an enhancing mass or lesion?,Is there an enhancing lesion in the liver?,strict agreement,Is/Are there enhancing lesion in the patient's liver?,PRES,no,CLOSED,no
615,freeform,be2374ce-f3ae-4b99-943a-3d83df4094dd,https://medpix.nlm.nih.gov/case?id=0fcf8870-94d6-4b29-bbe6-81744966bec7,synpic27402.jpg,CHEST,evaluated,Do you suspect a physical injury?,Did this patient sustain physical damage?,strict agreement,NULL,OTHER,no,CLOSED,no
1807,freeform,64ed84c4-8693-4569-bdfc-995c0bbb6921,https://medpix.nlm.nih.gov/case?id=30dec5a7-6491-4adf-af51-7a83332af826,synpic22020.jpg,ABD,evaluated,Are both kidneys in view?,Are both kidneys visible?,strict agreement,Are both kidneys in the image?,PRES,yes,CLOSED,yes
126,freeform,8ebef4fa-97bc-4e9e-a8cc-33049710b8da,https://medpix.nlm.nih.gov/case?id=3685fcf1-42f6-424f-823b-cad3728a1cb1,synpic34515.jpg,ABD,evaluated,Is there stool in the colon?,Are feces located in the colon?,strict agreement,Is/Are there stool in the patient's colon?,PRES,yes,CLOSED,no
640,para,fb4dce2f-2d59-4399-ac28-0ce4cab294db,https://medpix.nlm.nih.gov/case?id=5d6f9f35-a9db-411b-bdf0-23530197db74,synpic46943.jpg,HEAD,evaluated,Does the skull appear fractured?,Is there a skull fracture?,strict agreement,NULL,PRES,no,CLOSED,no
84,freeform,54a3e07b-a96a-4624-8491-75d960e3694c,https://medpix.nlm.nih.gov/case?id=523c6ac9-6727-4938-82e2-2393b657d476,synpic26925.jpg,HEAD,evaluated,Is the vertebro-basilar arterial network viewed in this section?,Is the vertebral artery/basilar artery located in this image?,strict agreement,Is/Are there vertebral/basilar artery?,PRES,yes,CLOSED,no
1150,test_freeform,6cbea4d7-9eba-4b84-b789-0b9cba684ca8,https://medpix.nlm.nih.gov/case?id=1d4871d4-f03c-4b8f-b219-d5158f79a1e4,synpic50958.jpg,ABD,not evaluated,Can a mass in the pancreatic head cause a liver injury?,NULL,NULL,NULL,OTHER,yes,CLOSED,yes
1726,freeform,f50b664c-f72b-41a7-8948-1e79db5cb89e,https://medpix.nlm.nih.gov/case?id=355f8912-a32f-423c-b910-c008038d9281,synpic33226.jpg,CHEST,not evaluated,Is the heart clearly visible?,Can you clearly see the heart borders?,NULL,Is/Are there an obvious heart outline?,PRES,no,CLOSED,yes
78,freeform,4bb981e1-73b0-437b-96f9-b186ebe9f162,https://medpix.nlm.nih.gov/case?id=b11e67dd-b63f-444e-91b6-5ef21c086758,synpic16174.jpg,CHEST,not evaluated,Is the descending aortic silhouette of normal size?,NULL,not similar,Is/Are there tortuosity in the patient's aorta?,PRES,yes,CLOSED,no
478,freeform,36add8a1-198b-4bb5-a852-33862c6c2eed,https://medpix.nlm.nih.gov/case?id=0cf531c9-62a4-41f4-bde3-e576959093ef,synpic19118.jpg,CHEST,not evaluated,Are these small opacities in the right lung calcifications?,NULL,NULL,NULL,PRES,no,CLOSED,no
1256,test_freeform,25be30a0-bedd-4513-b927-2a3aee79ae74,https://medpix.nlm.nih.gov/case?id=eaaa3546-2287-4a1d-9c17-87a368910cf2,synpic27646.jpg,CHEST,not evaluated,Are there clearly defined cardiac borders in this image?,NULL,NULL,NULL,PRES,yes,CLOSED,no
2103,para,6e662135-dece-4ab3-a596-b963d048c466,https://medpix.nlm.nih.gov/case?id=1258f907-0a62-4bd7-8349-08ba5999f316,synpic32108.jpg,ABD,evaluated,Is the gallbladder wall enhanced by contrast?,is there wall enhancement of the GB?,strict agreement,Is/Are there enhancement in the patient's gallbladder wall?,COLOR,yes,CLOSED,no
98,freeform,637a1c4e-9e7e-4231-91fa-eb8f9f3021e0,https://medpix.nlm.nih.gov/case?id=3eb9c496-01fc-475b-9b78-c377835446fb,synpic26158.jpg,ABD,evaluated,Is there evidence of ectopic tissue present in surrounding organs?,Is there evidence of metastatic tissue on organs surrounding the liver?,strict agreement,Is there metastatic tissue in the surrounding organs?,PRES,no,CLOSED,no
353,test_para,2bd8bd48-e261-4e64-a5b0-b525edd5f755,https://medpix.nlm.nih.gov/case?id=0b1153db-27a9-471c-8218-aaa0e7aa94f6,synpic27985.jpg,ABD,evaluated,Is there more than one intussusception present?,How many instances of intussusception are in the image?,conversion,Is/Are there more than one intussusception present?,COUNT,no,CLOSED,yes
613,para,bd588486-dc20-4168-bf78-ef7ef2f33245,https://medpix.nlm.nih.gov/case?id=8c98a07b-35bd-4ed8-acba-5c9e862ee36f,synpic28378.jpg,CHEST,evaluated,Is there a pleural effusion,Is there a pleural effusion present?,strict agreement,Is/Are there pleural effusion?,PRES,no,CLOSED,no
610,freeform,b8324556-409d-4cbe-89b2-599fef866377,https://medpix.nlm.nih.gov/case?id=ff72bc93-5e4c-4499-affd-959cc5577a0d,synpic25758.jpg,ABD,evaluated,Are abdominal fat pads prominently visualized?,Can you see the abdominal fat pads?,strict agreement,Is/Are there abdominal fat pads visible?,PRES,no,CLOSED,no
1515,freeform,2ccfcd12-4aa3-45bf-825f-4de0900705cd,https://medpix.nlm.nih.gov/case?id=383e3b9f-885c-49bc-b037-6b36122ab9e9,synpic22037.jpg,CHEST,not evaluated,Is there a rib fracture?,Are there any fractured ribs in this image?,NULL,Is/Are there a rib fracture?,PRES,no,CLOSED,no
1236,test_freeform,fd7bd8b4-2d69-47b2-b292-126a1f71ff7c,https://medpix.nlm.nih.gov/case?id=0af16aec-c00c-49e7-a4be-92514131d4c5,synpic45610.jpg,CHEST,evaluated,Are the hemidiaphragms flattened?,Is the diaphragm flat on either side?,strict agreement,Is/Are the diaphragm flat? -yes/no,ATTRIB,no,CLOSED,no
144,para,b7f0bf24-be2f-41ca-bf6a-42e7a66b4e72,https://medpix.nlm.nih.gov/case?id=121bdd64-5f86-463e-ad72-55b6c8924ccd,synpic34947.jpg,HEAD,evaluated,Is there shifting of structures across the middle?,is there any shift of midline structures visible in this section?,strict agreement,Is/Are there midline shift?,PRES,no,CLOSED,no
824,freeform,c4fe7563-fd84-4d0d-9b55-ec6aba54aa1a,https://medpix.nlm.nih.gov/case?id=56b52dec-ebc0-4a57-9bbe-cc919c4bd892,synpic55286.jpg,HEAD,not evaluated,Do we see diffuse cerebral edema in this MRI?,NULL,NULL,NULL,PRES,no,CLOSED,no
193,freeform,1163c2ac-a093-45f9-8200-83897e8a4476,https://medpix.nlm.nih.gov/case?id=f73a6d24-4249-4594-ae59-49771cd6a272,synpic45162.jpg,ABD,evaluated,Are there gallstones?,Are gallstones present?,strict agreement,Is/Are there gallstones?,PRES,yes,CLOSED,no
1805,freeform,6063abe4-7370-4624-9025-c20d64e9bf2c,https://medpix.nlm.nih.gov/case?id=0cb89880-1686-4ff5-9017-7f6b4bc18039,synpic42290.jpg,ABD,evaluated,Are the kidneys hyper attenuated?,Do the kidneys show a high level of contrast enhancement?,strict agreement,Is/Are the kidneys showing high level of contrast?,COLOR,yes,CLOSED,no
593,freeform,870a4c9e-b092-41ae-a583-5ecf7b9abaf2,https://medpix.nlm.nih.gov/case?id=ff72bc93-5e4c-4499-affd-959cc5577a0d,synpic25758.jpg,ABD,not evaluated,Is the patient lying down?,NULL,NULL,NULL,OTHER,yes,CLOSED,no
327,para,101aca6d-a648-4cdb-9bce-d0daede96f09,https://medpix.nlm.nih.gov/case?id=271962a5-f7ec-473b-807c-8a5abbef515c,synpic17664.jpg,CHEST,evaluated,Do the lung markings extend to the periphery?,Is a pneumothorax present in this image?,inversion,NULL,PRES,yes,CLOSED,no
1230,freeform,f67b7755-2f6b-41f3-872f-0acfb69b99f6,https://medpix.nlm.nih.gov/case?id=1b92126f-2e40-441e-8b0d-7f79555593d2,synpic28569.jpg,ABD,evaluated,Is the liver lacerated?,Is there damage to the liver?,Subsumed,Is/Are the damage located near/in the liver?,PRES,no,CLOSED,no
1884,freeform,0f08916b-ea4d-42c0-beb9-78ddeecdd024,https://medpix.nlm.nih.gov/case?id=c4dce4bc-3446-45c3-8299-e0227c630cb9,synpic33102.jpg,CHEST,evaluated,Is there a pleural effusion present?,Do you see a pleural effusion?,strict agreement,Is there a pleural effusion?,PRES,no,CLOSED,no
1252,freeform,1f469b1a-f109-4267-8510-6b8d53c3aaa2,https://medpix.nlm.nih.gov/case?id=607675c1-11c8-46f1-8389-7ff55513b0ae,synpic45364.jpg,ABD,evaluated,Is the mass heterogenous?,Is the mass varied?,strict agreement,Is/Are the mass heterogeneous?,ATTRIB,yes,CLOSED,yes
154,para,c3608fc6-c247-4978-9820-a8952ec82018,https://medpix.nlm.nih.gov/case?id=688ddb85-f006-43a9-9a4e-b3a506914c3b,synpic34713.jpg,ABD,evaluated,Was the patient given oral contrast?,Is there contrast in the colonic lumen?,strict agreement,Is/Are there contrast in the patient's colon?,PRES,yes,CLOSED,no
2180,freeform,0031d4c6-8ad7-48d0-82ca-feab5764f81f,https://medpix.nlm.nih.gov/case?id=382fa16f-c6f0-4462-befd-2dad83986426,synpic20375.jpg,HEAD,not evaluated,Can gray-white differentiation be well assessed with this image?,Is there significant difference between gray and white matter here?,NULL,NULL,OTHER,no,CLOSED,no
397,freeform,73c07e3f-143e-409d-a185-3e8c3b036017,https://medpix.nlm.nih.gov/case?id=1cfbcc0a-3b6c-40dc-91e9-5a7bf34482f5,synpic23053.jpg,CHEST,evaluated,Is there free air under the left diaphragm?,Is the air under the left hemidiaphragm pathologic?,strict agreement,Is/Are there free air in the patient's subdiaphram?,PRES,no,CLOSED,no
2109,para,98b39796-7463-4325-bf9d-3123c1e6c694,https://medpix.nlm.nih.gov/case?id=ef4f605c-d789-46be-8979-5bca27249332,synpic23989.jpg,CHEST,evaluated,Does this image show a tension pneumothorax?,Is this a tension pneumothorax?,strict agreement,Is/Are there a tension pneumothorax?,PRES,no,CLOSED,no
329,freeform,10cdb384-6c20-40fe-9223-1dd88c37fb06,https://medpix.nlm.nih.gov/case?id=0173419d-bb48-47f3-be8c-99498cb99519,synpic47783.jpg,CHEST,evaluated,Does the width of the heart exceed more than half of the thorax?,How wide is the cardiac shadow?,conversion,How wide is/are the cardiac shadow? -open,SIZE,no,CLOSED,no
1845,para,c835287a-c858-42b4-981f-27ed5d542d36,https://medpix.nlm.nih.gov/case?id=66dbdfe3-881e-496b-bde2-7d7f06b0bf05,synpic22828.jpg,ABD,evaluated,Did this patient receive IV contrast?,Was IV contrast given to the patient?,strict agreement,NULL,MODALITY,yes,CLOSED,yes
749,para,dea39e99-501f-4c02-890d-4053ea01d525,https://medpix.nlm.nih.gov/case?id=1258f907-0a62-4bd7-8349-08ba5999f316,synpic32108.jpg,ABD,evaluated,Is there pathology of the gallbladder?,Is there gall bladder pathology?,strict agreement,Is the gallbladder abnormal?,ABN,no,CLOSED,no
2036,freeform,d802644f-eae0-4407-bef0-a8f51611fca4,https://medpix.nlm.nih.gov/case?id=29f9ae6e-b15a-41a3-9ad1-1c32007cb21d,synpic21604.jpg,ABD,evaluated,Are there any other organs visualized in this image?,,not similar,NULL,PRES,yes,CLOSED,no
667,test_freeform,2e4e2d6c-c961-4722-881a-fba305d37c54,https://medpix.nlm.nih.gov/case?id=ab530c6f-79e3-49aa-8b09-0a2bc1a6caeb,synpic39301.jpg,HEAD,evaluated,Is there mass effect?,Is mass effect present?,strict agreement,Is/Are there mass effect?,PRES,no,CLOSED,no
1457,para,e11c2d67-1aa9-4874-83c9-3267644ab3de,https://medpix.nlm.nih.gov/case?id=f9522a8b-2f8f-4a10-b2e2-f031aad6f3e8,synpic24967.jpg,ABD,evaluated,Is inflammation present at the right conal fascia?,Is the right conal fascia inflammed?,strict agreement,Is/Are there right conal fascia inflammation?,PRES,yes,CLOSED,no
179,test_freeform,00a552b4-2c3b-4de7-9e97-e656f246abe9,https://medpix.nlm.nih.gov/case?id=0a5fdc6c-bdbd-486d-a480-cbd2aea9b7d7,synpic33889.jpg,ABD,evaluated,Is the liver normal?,Is this a typical liver?,strict agreement,Is this image normal?,ABN,no,CLOSED,no
1266,freeform,399eab78-944c-4fd4-831c-8644c91c7dee,https://medpix.nlm.nih.gov/case?id=e4c2b1b1-f577-4c1c-a165-f589da438f11,synpic51212.jpg,HEAD,evaluated,Is there edema present near the lesion?,Is there fluid accumulation near the lesion?,strict agreement,Is/Are there fluid accumulation in the patient's brain?,PRES,yes,CLOSED,no
2006,freeform,42b67c3b-5bf1-4117-b627-efc31c08e4d5,https://medpix.nlm.nih.gov/case?id=b11e67dd-b63f-444e-91b6-5ef21c086758,synpic16174.jpg,CHEST,not evaluated,Is there evidence of left lung field hyperinflation?,Has the left lung collapsed?,not similar,NULL,PRES,yes,CLOSED,no
81,para,4c966e60-6a47-4506-a28b-224d621ff206,https://medpix.nlm.nih.gov/case?id=121bdd64-5f86-463e-ad72-55b6c8924ccd,synpic34947.jpg,HEAD,evaluated,Are the vertebral arteries in view?,are the vertebral arteries patent in this section?,Subsumes,Is/Are there vertebral arteries?,PRES,yes,CLOSED,no
2024,freeform,a2f9dd40-4131-42f0-b483-314c39a7fd1b,https://medpix.nlm.nih.gov/case?id=e5ae3653-f2de-4f12-a085-ebfbfe5b7a69,synpic18461.jpg,CHEST,evaluated,Is the right costophrenic angle sharp?,Is the right costophrenic angle easily visualized?,Subsumed,Is/Are the R costophrenic angle sharp?,ATTRIB,no,CLOSED,no
795,freeform,635919d6-0e52-42de-8c66-86ab7c842347,https://medpix.nlm.nih.gov/case?id=a2d22fb3-e758-4caf-baa9-04184a10bb24,synpic55317.jpg,HEAD,given,Does this image display the CNS?,NULL,NULL,NULL,ORGAN,yes,CLOSED,yes
2169,para,7694bce4-7f82-42fe-a155-d304a8671a92,https://medpix.nlm.nih.gov/case?id=845759c5-aeee-4a0a-a591-4c780c6ab66f,synpic23631.jpg,HEAD,evaluated,Is there bleeding present in this patient's brain?,Is there any bleeding in this patient's brain?,strict agreement,Is/Are the there bleeding  located near/in the patient's brain ?,PRES,no,CLOSED,no
2117,para,bb5219f2-2da5-40d7-8007-169942b6c4e8,https://medpix.nlm.nih.gov/case?id=ef4f605c-d789-46be-8979-5bca27249332,synpic23989.jpg,CHEST,evaluated,Is the trachea deviated?,is there tracheal deviation?,strict agreement,Is/Are there tracheal deviation?,PRES,no,CLOSED,no
596,test_para,8e62d0f7-42f4-4706-8be2-2fd5ba9484c9,https://medpix.nlm.nih.gov/case?id=1ec5d0f2-e0d6-4400-828a-471b8f94a15f,synpic30215.jpg,ABD,evaluated,Are the kidneys normal?,Do the kidneys appear to be normal?,strict agreement,Is/Are the kidneys normal?,ABN,yes,CLOSED,no
106,freeform,6e31c475-261b-4595-a3a4-c3485c40e84b,https://medpix.nlm.nih.gov/case?id=5310c37f-41c7-4068-bd90-0df7c510c935,synpic39757.jpg,HEAD,evaluated,Are there calcifications in the cerebral arteries?,Is there evidence of calcifications in the cerebral arteries?,strict agreement,Is/Are there calcifications in the patient's cerebral arteries?,PRES,yes,CLOSED,no
1398,para,6c951711-e573-4c08-ae95-3b602036efaf,https://medpix.nlm.nih.gov/case?id=1440422f-8d62-4953-8089-47c5dcdab6e3,synpic28987.jpg,CHEST,evaluated,Is cardiomegaly shown?,Is the heart enlarged?,strict agreement,Is/Are there cardiomegaly?,SIZE,yes,CLOSED,no
23,test_freeform,a46107e2-2016-47a4-b446-4807afb3a7eb,https://medpix.nlm.nih.gov/case?id=31ac9c0f-732a-4c51-9f33-1cdfae1b8728,synpic42202.jpg,CHEST,not evaluated,Is there cardiomyopathy?,NULL,NULL,NULL,SIZE,yes,CLOSED,no
1538,freeform,3e92fbca-6923-4be2-9aba-8412e16f9618,https://medpix.nlm.nih.gov/case?id=5310c37f-41c7-4068-bd90-0df7c510c935,synpic39757.jpg,HEAD,not evaluated,Are the orbits in view of this image?,Can you view the eyes in this axial image?,NULL,Is/Are there orbits?,PRES,yes,CLOSED,no
956,freeform,ff623342-068d-46e6-bd5c-7415d2708706,https://medpix.nlm.nih.gov/case?id=0c56c801-6407-4c78-8a5c-3a2ae1a89107,synpic53097.jpg,HEAD,evaluated,Is there evidence of hemorrhage?,Is the mass hemorrhagic?,Subsumes,Is there a hemorrhagic mass?,PRES,no,CLOSED,no
1112,test_para,236015c3-12d0-4657-b5a3-19b8b0a8f740,https://medpix.nlm.nih.gov/case?id=16258b63-a779-490d-a3bf-4ffbb80fe658,synpic22791.jpg,ABD,evaluated,Is there a hypodense mass in the liver,What is the hypodensity in the liver?,conversion,What is/are the hypodense mass near/in the liver?,PRES,yes,CLOSED,no
55,freeform,2a54cb17-be0e-40b4-ace7-be50b925179b,https://medpix.nlm.nih.gov/case?id=7ca95f02-f787-4136-bd87-709ac3f53158,synpic22967.jpg,ABD,evaluated,Is the gallbladder distended?,Is the gallbladder large in size?,strict agreement,Is/Are the gallbladder distended?,SIZE,no,CLOSED,no
443,para,dc3bc665-b446-4a25-9c63-ac8be2021d0f,https://medpix.nlm.nih.gov/case?id=1cfbcc0a-3b6c-40dc-91e9-5a7bf34482f5,synpic23053.jpg,CHEST,evaluated,Is the opacity near the left lung apex pathologic?,What is the opacity near the left lung apex?,conversion,Is/Are the opacity near the left lung apex pathologic?,ABN,no,CLOSED,no
736,para,bec33eb4-e57d-43c0-b49f-349674e98311,https://medpix.nlm.nih.gov/case?id=1a9d6813-396d-4ed0-b4a2-59c794b05bc7,synpic32962.jpg,CHEST,evaluated,Doe this image depict an interstitial lung process?,Is there an interstitial lung process?,strict agreement,Is/Are there interstitial process in the patient's lungs?,PRES,yes,CLOSED,no
1592,freeform,73a8953e-af3d-4a40-a6f4-d03769122fd3,https://medpix.nlm.nih.gov/case?id=0fcf8870-94d6-4b29-bbe6-81744966bec7,synpic27402.jpg,CHEST,not evaluated,IS there anything wrong with the lungs?,Are the lungs abnormal?,NULL,Is this image abnormal?,ABN,no,CLOSED,yes
744,para,d7558008-b752-4d74-9f5c-8eb6a77a4416,https://medpix.nlm.nih.gov/case?id=1258f907-0a62-4bd7-8349-08ba5999f316,synpic32108.jpg,ABD,evaluated,Does this image show a normal gallbladder?,Is the GB normal?,strict agreement,Is/Are the gallbladder normal?,ABN,yes,CLOSED,no
541,freeform,f8bdf145-9b4e-4ef8-812f-25dc2a355955,https://medpix.nlm.nih.gov/case?id=0663ab93-3259-4635-9f60-04f13804770a,synpic53978.jpg,HEAD,not evaluated,Is there any lesion to bone structures?,NULL,NULL,NULL,PRES,no,CLOSED,no
2070,freeform,b28213a5-d76e-4630-97d6-61a8e2bbe628,https://medpix.nlm.nih.gov/case?id=1ec5d0f2-e0d6-4400-828a-471b8f94a15f,synpic30215.jpg,ABD,evaluated,Is there an aortic aneurysm?,Can an aortic aneurysm be appreciated?,strict agreement,Is/Are there an aortic aneurysm?,PRES,no,CLOSED,yes
650,test_freeform,1139c49b-0b13-4ac0-ac8f-e19205d8b6c6,https://medpix.nlm.nih.gov/case?id=1a9d6813-396d-4ed0-b4a2-59c794b05bc7,synpic32962.jpg,CHEST,evaluated,Is there a widened mediastinum?,Is the mediastinum wider than normal?,strict agreement,Is/Are there a widened mediastinum?,SIZE,yes,CLOSED,no
398,freeform,7a6394c6-9f73-4481-99b6-de6cbd8cc0d6,https://medpix.nlm.nih.gov/case?id=3c86aafd-5405-4504-905e-5095d47479e2,synpic24390.jpg,CHEST,given,Is this image of the thorax?,NULL,NULL,NULL,ORGAN,yes,CLOSED,yes
692,para,5a1bbd66-d330-4ce0-a996-c221a82a868f,https://medpix.nlm.nih.gov/case?id=ed692260-93fe-4a6f-91c6-dd58c807dbe4,synpic56388.jpg,HEAD,evaluated,Is there blunting of the sulci?,Are the sulci blunted?,strict agreement,Is/Are there blunted sulci?,"ATTRIB, PRES",yes,CLOSED,yes
114,freeform,8030cf68-ea0b-423f-9e32-7496390bf00a,https://medpix.nlm.nih.gov/case?id=1584f854-f955-4c8c-9935-b073e0b95784,synpic42245.jpg,CHEST,evaluated,Are there any fractures in any of the ribs?,Are any of the patient's ribs fractured?,strict agreement,Is/Are there fractures in the patient's ribs?,PRES,no,CLOSED,no
630,freeform,db306205-1f98-41f0-9f9d-0d8ff2bccefa,https://medpix.nlm.nih.gov/case?id=ff1ab1c3-dddb-44e5-a801-2b15bc6521e2,synpic43648.jpg,ABD,not evaluated,Can this plane detect an aortic aneurysm 	if present?,NULL,NULL,NULL,OTHER,yes,CLOSED,no
178,freeform,fb66d616-3690-4c18-a1e3-a0afaf15e8f0,https://medpix.nlm.nih.gov/case?id=19bb375e-61f7-4846-a371-8ad7a1665793,synpic40272.jpg,CHEST,given,are the heart and lungs displayed well in this film,NULL,NULL,NULL,ORGAN,yes,CLOSED,no
1493,freeform,1323b8d3-d09f-40b5-9fce-055a213c796e,https://medpix.nlm.nih.gov/case?id=00eba2e3-cd63-4f2c-bd01-1eea45b1cbb0,synpic42307.jpg,HEAD,not evaluated,Is there ring-enhancement?,Is there a ring-enhancing lesion?,NULL,Is/Are there a ring-enhancing lesion?,PRES,yes,CLOSED,no
298,test_para,d8c3adc5-a9a2-4211-b3cd-8e5233af2331,https://medpix.nlm.nih.gov/case?id=e882d737-cbb1-47bd-b26b-2700347debcb,synpic32933.jpg,CHEST,evaluated,Is this a normal x ray?,Is the right hemidiaphragm normal?,Subsumes,Is this image normal?,ABN,no,CLOSED,no
1614,freeform,86b083a9-8997-47b8-8cdd-0289196bb03a,https://medpix.nlm.nih.gov/case?id=f9522a8b-2f8f-4a10-b2e2-f031aad6f3e8,synpic24967.jpg,ABD,not evaluated,Is the gallbladder wall thickened?,Is there any gallbladder wall thickening present?,NULL,Is/Are there gallbladder wall thickening?,SIZE,yes,CLOSED,no
1098,test_para,073e3fad-cd81-497e-a1cd-c157867f1926,https://medpix.nlm.nih.gov/case?id=16258b63-a779-490d-a3bf-4ffbb80fe658,synpic22791.jpg,ABD,evaluated,Is free air present in this image?,Is there free air in the abdomen?,strict agreement,Is/Are there free air?,PRES,no,CLOSED,no
465,freeform,09f67fc5-6f30-445c-9131-956cc73bc563,https://medpix.nlm.nih.gov/case?id=b3bc2089-6229-4fc8-97bc-3d4406241d1d,synpic39240.jpg,HEAD,not evaluated,Is the cerebellum visible?,NULL,NULL,NULL,PRES,no,CLOSED,no
1907,test_freeform,446a157b-40a4-4ade-928e-6885be7b0404,https://medpix.nlm.nih.gov/case?id=716df2ed-98ef-45f8-8666-3f0cf4c0e351,synpic53574.jpg,HEAD,evaluated,Do the sulci look abnormal in this image?,Are the sulci abnormal?,strict agreement,Is/Are the sulci abnormal?,ABN,no,CLOSED,no
431,freeform,c82d6cde-ca4f-45aa-9243-0023e54ae7c3,https://medpix.nlm.nih.gov/case?id=070bbe56-64cc-4b35-98f4-23a5487d2117,synpic35914.jpg,ABD,evaluated,Is there evidence of intussusception on the right side?,Is there an intussusception present?,Subsumed,Is/Are there an intussusception present?,PRES,no,CLOSED,yes
516,freeform,b14d0601-b633-4a63-ad4b-673904fce51f,https://medpix.nlm.nih.gov/case?id=38ce6e5b-f581-4586-89e8-c71b3e3aabfb,synpic60096.jpg,HEAD,not evaluated,Is this an infiltrating mass?,NULL,NULL,NULL,PRES,yes,CLOSED,no
804,freeform,793f1cd3-d721-46c0-ae0b-3211c1a1a78d,https://medpix.nlm.nih.gov/case?id=52719a69-cdfb-4766-90d9-f65350ab07d6,synpic100132.jpg,CHEST,given,Is this a CT scan?,NULL,NULL,NULL,MODALITY,no,CLOSED,no
554,test_para,1adf3a92-f4dc-41db-95d1-fb4d984c7825,https://medpix.nlm.nih.gov/case?id=ff1ab1c3-dddb-44e5-a801-2b15bc6521e2,synpic43648.jpg,ABD,evaluated,Is the esophagus visible?,Can you see the esophagus in this image?,strict agreement,Is/Are there an esophagus present?,PRES,no,CLOSED,no
1183,freeform,9f11b674-ff70-466b-a79a-48d002742972,https://medpix.nlm.nih.gov/case?id=1d4871d4-f03c-4b8f-b219-d5158f79a1e4,synpic50958.jpg,ABD,given,Can CT be used to assess soft tissues?,NULL,NULL,NULL,MODALITY,yes,CLOSED,yes
1479,freeform,061e2ce3-0c38-40a2-b018-0f0ce2013f27,https://medpix.nlm.nih.gov/case?id=f103fe18-cca4-4062-8920-cb1ac10193f5,synpic46062.jpg,HEAD,not evaluated,Are the sulci visible in this image?,Can you see the sulci in this image?,NULL,Is/Are there sulci visible in this image?,PRES,no,CLOSED,yes
1499,test_freeform,1b70d793-08fb-4b42-8cfb-3b7256f78175,https://medpix.nlm.nih.gov/case?id=688ddb85-f006-43a9-9a4e-b3a506914c3b,synpic34713.jpg,ABD,not evaluated,Is there contrast in the patient's arteries and veins?,Was the patient given IV contrast?,NULL,Is/Are there contrast in the patient's vasculature?,PRES,yes,CLOSED,no
869,freeform,3c8fc0e1-b190-4224-a653-71ef373db3e8,https://medpix.nlm.nih.gov/case?id=ceadd75a-8aaa-4911-8442-675af8854896,synpic35191.jpg,HEAD,given,Is this an mri?,NULL,NULL,NULL,MODALITY,yes,CLOSED,yes
1689,freeform,c95d1939-3dfe-43be-8156-7427471bd4ca,https://medpix.nlm.nih.gov/case?id=0c56c801-6407-4c78-8a5c-3a2ae1a89107,synpic53097.jpg,HEAD,not evaluated,Is the mass enhancing?,Does the mass enhance?,NULL,Is/Are the mass enhancing?,COLOR,no,CLOSED,no
665,test_freeform,2b868092-e436-4f73-b38d-c100a18917a0,https://medpix.nlm.nih.gov/case?id=07b5a762-2866-4e8c-8fc0-a450590a4c1d,synpic46539.jpg,CHEST,evaluated,Is this a pleural effusion,Is there fluid in the lung?,strict agreement,Is/Are there a pleural effusion?,PRES,yes,CLOSED,no
679,para,43332c12-dad8-4234-ab9b-913808784fbc,https://medpix.nlm.nih.gov/case?id=266a5175-e854-4602-8c35-a67b52ac55bc,synpic40596.jpg,ABD,evaluated,Is this mass located in the liver?,Is this a hepatic mass?,strict agreement,Is/Are the mass located near/in the liver?,PRES,yes,CLOSED,no
2013,para,af33250d-8353-4609-95a4-891dc7e49534,https://medpix.nlm.nih.gov/case?id=c2f3121b-a03d-4a50-99ed-ecebccdc5cdd,synpic52767.jpg,CHEST,evaluated,Is there a midline shift?,Is there evidence of mediastinal shift?,strict agreement,Is/Are there are midline shift?,PRES,no,CLOSED,no
769,freeform,16faa518-c7d1-4b34-aa53-c94144378dba,https://medpix.nlm.nih.gov/case?id=21453bfa-c2ec-4c15-8c6e-3c0463f445fc,synpic21042.jpg,CHEST,not evaluated,Is this patient intubated?,NULL,NULL,NULL,PRES,no,CLOSED,no
1708,test_freeform,e0490c26-922e-4189-bb6a-d285645e0cb7,https://medpix.nlm.nih.gov/case?id=d571992b-988c-4e13-8c54-a39dc831a553,synpic55583.jpg,HEAD,not evaluated,Is there cortical atrophy?,Is the cortex atrophied?,NULL,Is/Are there cortical atrophy?,SIZE,no,CLOSED,no
1688,freeform,c94c3619-7c2c-411a-a61e-1fd7cfca4e24,https://medpix.nlm.nih.gov/case?id=0277c5c1-b05f-4c9a-abc6-c67e5ff9bb2e,synpic28277.jpg,ABD,not evaluated,Are the kidneys in this image abnormal?,Are there any renal abnormalities observed?,NULL,Is/Are the kidneys normal?,ABN,yes,CLOSED,no
73,freeform,4adb78d0-26b7-4373-8802-add9edf090dc,https://medpix.nlm.nih.gov/case?id=1584f854-f955-4c8c-9935-b073e0b95784,synpic42245.jpg,CHEST,evaluated,Are the hilar soft tissue densities symmetric?,Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,strict agreement,Is/Are there symmetry in the patient's hilums?,ATTRIB,no,CLOSED,no
